Product,Year,Aldi.Price,Aldi.Weight,Aldi.Price/Weight,Aldi.Natural,Aldi.Comment,Kroger.Price,Kroger.Weight,Kroger.Price/Weight,Kroger.Natural,Kroger.Comment,Publix.Price,Publix.Weight,Publix.Price/Weight,Publix.Natural,Publix.Comment,Walmart.Price,Walmart.Weight,Walmart.Price/Weight,Walmart.Comment
"Chicken Nuggets, frozen",2010,$3.99,32 oz,,,Kirkwood,$1.89,10 oz,,,Redi-Serve,$5.99,32 oz,,,Perdue or Fast Fixin',,,,
"Chicken Strips, grilled, frozen",2010,$7.99,32 oz,,,Kirkwood,,,,,,$8.99,22 oz,40.86,,Tyson,,,,
"Chicken Tenders, frozen",2010,$5.99,2.5 lbs,,,Kirkwood,$8.99,3 lbs,,,"Kroger, best price seen: 7.19 w/ card",,,,,,,,,
Chips,2010,$1.29,11 oz,,,"Clancy's, assorted",$3.21,10.5 oz,,,"Lay's, assorted flavors",$2.59,8 oz,,,"Publix, assorted styles",,,,
Chocolate Chip Cookie Dough,2010,$1.79,16 oz,,,"Buehler's, makes 24 cookies",$1.99,16 oz,,,"Kroger, makes 24 cookies; best price seen: 1.79 w/ card; nestle: 2.55; Pillsbury: 2.62",$2.49,16 oz,,,"Publix, makes 24 cookies; Nestle or Pillsbury: 2.89",,,,
Club Soda,2010,,,,,,$0.69,2L,,,Big K,,,,,,,,,
Cocoa Rice Cereal,2010,$1.79,13 oz,,,Millville,$1.89,15 oz,,,Kroger,$2.29,15 oz,,,"Publix, cocoa crisp",,,,
Coconut Milk,2010,,,,,,,,,,,,,,,,,,,
Coffee,2010,$3.99,17.6 oz,,,"Grandessa, 500 g",$3.39,11.5 oz,,,"Kroger, breakfast blend",$3.99,13 oz,,,"Publix, Colombian",,,,
"Cold Cuts, ham or chicken",2010,$2.69,1 lb,,,"Lunch Mate, ham, chicken or turkey",$3.99,16 oz,,,"Kroger, ham, chicken or turkey; best price seen: 3.50",$6.39,1 lb,,,"Publix, ham or turkey, assorted flavors",,,,
"Cold Cuts, ham, all natural",2010,,,,,,$3.99,8 oz,,,"Hormel, ham or turkey",$3.69,7 oz,,,"Hormel, turkey, ham or salami",,,,
"Cold Cuts, turkey variety",2010,$1.99,12 oz,,,Appleton,$3.59,12 oz,,,"Butterball, 16 slices; best price seen: 2.99 w/ card",$2.99,12 oz,,,Oscar Mayer,,,,
"Corn Flakes, regular",2010,$1.19,18 oz,,,Millville,$0.99,14 oz,,,Kroger Value,$2.09,18 oz,,,Publix,,,,
"Corn Flakes, sugar frosted",2010,$1.69,17 oz,,,Millville,$0.99,8 oz,,,Kroger Value,$2.59,17 oz,,,Publix,,,,
Cottage Cheese,2010,$1.99,24 oz,,,"Friendly Farms, regular or low fat",$1.39,16 oz,,,"Kroger, small or large curd, low fat and fat free",$2.29,24 oz,,,"Publix, small curd, low fat or fat free",,,,
"Cream, heavy whipping",2010,,,,,,$2.49,1 pt,,,Kroger; best price seen: 2.00,$1.89,8 fl oz,,,Publix; 1.89/16 fl oz,,,,
Croissants,2010,,,,,,,,,,,,,,,,,,,
"Eggs, cage free",2010,,,,,,$2.28,dozen,,,"Private Selection, large, brown",$2.99,dozen,,,"4-Grain, large, brown",,,,
"Eggs, regular",2010,$0.99,dozen,,,"Goldhen, greade A large, white",$1.00,dozen,,,"Kroger, large, white",$1.19,dozen,,,"Publix, large, white",,,,
"Fish, Flounder fillets",2010,$3.99,16 oz,,Y,"Sea Queen, 4 fillets (wild caught)",$4.99,12 oz,,,"Kroger, 3 fillets; best price seen: 3.99 w/ card",$7.99,12 oz,,,"Publix, 2 fillets",,,,
"Fish, other (1)",2010,$3.99,24 oz,,Y,"Mahi Mahi, Sea Queen, 4 fillets (wild caught)",$6.99,32 oz,,,"Pollock, Kroger, 4 fillets, wild catch",$6.99,,,,Haddock,,,,
"Fish, other (2)",2010,$4.99,24 oz,,,"Tilapia, Sea Queen, 6 fillets",,,,,,$7.99,,,,Cod,,,,
"Fish, Whiting fillets",2010,$3.49,16 oz,,Y,"Sea Queen, 6 skin-on fillets (wild caught)",$3.49,16 oz,,,"Kroger, 8 fillets; best price seen: 5.59 w/ card",$7.99,32 oz,,,Whiting,,,,
"Flour, all purpose",2010,$1.19,5 lbs,,,"Baker's Corner, enriched and bleached",$1.97,5 lbs,,,"Kroger, bleached or unbleached",$2.29,5 lbs,,,"Publix, bleached and unbleached",,,,
"Flour, self rising",2010,$1.39,5 lbs,,,"Baker's Corner, enriched and bleached",$1.97,5 lbs,,,"Kroger, bleached",$2.29,5 lbs,,,"Publix, bleached",,,,
